Image Pair,last,third-last,fifth-last
tibia <-> femur,0.9947119355201721,0.9902589321136475,0.8818643093109131
tibia <-> background,0.7773427963256836,0.6798243522644043,0.61307293176651
femur <-> background,0.7781055569648743,0.6589434742927551,0.5426297187805176
